swamp,swampLabel
http://www.wikidata.org/entity/Q32824672,Aaron Swamp
http://www.wikidata.org/entity/Q32825161,Acorn Hill Millpond
http://www.wikidata.org/entity/Q32825823,Ahoskie Swamp
http://www.wikidata.org/entity/Q32826666,Alligator Bay
http://www.wikidata.org/entity/Q26916279,Angola Swamp
http://www.wikidata.org/entity/Q32828999,Ash Swamp
http://www.wikidata.org/entity/Q32829184,Ashpole Swamp
http://www.wikidata.org/entity/Q32829613,Aunt Phoebes Marsh
http://www.wikidata.org/entity/Q32830987,Baldwin Swamp
http://www.wikidata.org/entity/Q32831067,Ball Pocosin
http://www.wikidata.org/entity/Q32831569,Barden Bay
http://www.wikidata.org/entity/Q32832949,Bay Branch
http://www.wikidata.org/entity/Q32833190,Bay Marsh
http://www.wikidata.org/entity/Q32833321,Baybush Swamp
http://www.wikidata.org/entity/Q32834802,Beach Marsh
http://www.wikidata.org/entity/Q32834993,Bear Bay
http://www.wikidata.org/entity/Q32836029,Bear Garden Bay
http://www.wikidata.org/entity/Q32836198,Bear Pen Islands Swamp
http://www.wikidata.org/entity/Q32836222,Bear Pond
http://www.wikidata.org/entity/Q32836330,Bear Swamp
http://www.wikidata.org/entity/Q32836332,Bear Swamp
http://www.wikidata.org/entity/Q32836333,Bear Swamp
http://www.wikidata.org/entity/Q32836335,Bear Swamp
http://www.wikidata.org/entity/Q32836482,Beargarden Pocosin
http://www.wikidata.org/entity/Q32836635,Bearwell Pocosin
http://www.wikidata.org/entity/Q32837162,Beaver Dam Bay
http://www.wikidata.org/entity/Q32837163,Beaver Dam Bay
http://www.wikidata.org/entity/Q32837232,Beaver Dam Swamp
http://www.wikidata.org/entity/Q32837344,Beaverdam Bay
http://www.wikidata.org/entity/Q32837659,Beaverdam Dismal
http://www.wikidata.org/entity/Q32837666,Beaverdam Pocosin
http://www.wikidata.org/entity/Q32838247,Bee Island Bay
http://www.wikidata.org/entity/Q32838290,Bee Tree Bay
http://www.wikidata.org/entity/Q32838310,Bee Tree Swamp
http://www.wikidata.org/entity/Q32838543,Beech Swamp
http://www.wikidata.org/entity/Q32838686,Beks Bay
http://www.wikidata.org/entity/Q32839375,Bennett Bay
http://www.wikidata.org/entity/Q32839471,Bennetts Bay
http://www.wikidata.org/entity/Q32840216,Big Alligator Swamp
http://www.wikidata.org/entity/Q32840242,Big Bay
http://www.wikidata.org/entity/Q32840243,Big Bay
http://www.wikidata.org/entity/Q32840244,Big Bay
http://www.wikidata.org/entity/Q32840245,Big Bay
http://www.wikidata.org/entity/Q32840246,Big Bay
http://www.wikidata.org/entity/Q32840247,Big Bay
http://www.wikidata.org/entity/Q32840248,Big Bay
http://www.wikidata.org/entity/Q32840249,Big Bay
http://www.wikidata.org/entity/Q32840250,Big Bay
http://www.wikidata.org/entity/Q32840251,Big Bay
http://www.wikidata.org/entity/Q32840252,Big Bay
http://www.wikidata.org/entity/Q32840253,Big Bay
http://www.wikidata.org/entity/Q32840273,Big Bay Swamp
http://www.wikidata.org/entity/Q32840368,Big Branch
http://www.wikidata.org/entity/Q32840851,Big Colly Bay
http://www.wikidata.org/entity/Q32841229,Big Gallberry Bay
http://www.wikidata.org/entity/Q32841425,Big Juniper Bay
http://www.wikidata.org/entity/Q32841497,Big Marsh
http://www.wikidata.org/entity/Q32841568,Big Opening
http://www.wikidata.org/entity/Q32841608,Big Pocosin
http://www.wikidata.org/entity/Q32841829,Big Shoal Marsh
http://www.wikidata.org/entity/Q32841843,Big Slough
http://www.wikidata.org/entity/Q32841949,Big Swamp
http://www.wikidata.org/entity/Q32841967,Big Swash
http://www.wikidata.org/entity/Q32842019,Big White Bay
http://www.wikidata.org/entity/Q32842541,Bitch Bay
http://www.wikidata.org/entity/Q32842592,Black Bay
http://www.wikidata.org/entity/Q32842846,Black Creek Bay
http://www.wikidata.org/entity/Q32842878,Black Ground Bay
http://www.wikidata.org/entity/Q32842951,Black Mingle Pocosin
http://www.wikidata.org/entity/Q32843029,Black Swamp
http://www.wikidata.org/entity/Q32843030,Black Swamp
http://www.wikidata.org/entity/Q32843031,Black Swamp
http://www.wikidata.org/entity/Q32843032,Black Swamp
http://www.wikidata.org/entity/Q32843105,Blackfish Lake
http://www.wikidata.org/entity/Q32843563,Bloody Branch Bay
http://www.wikidata.org/entity/Q32843607,Blount Pocosin
http://www.wikidata.org/entity/Q32843609,Blounts Bay
http://www.wikidata.org/entity/Q32843761,Blue Desert
http://www.wikidata.org/entity/Q32843805,Blue Hole Swamp
http://www.wikidata.org/entity/Q32844089,Bluff Swamp
http://www.wikidata.org/entity/Q32844254,Bob Jones Swamp
http://www.wikidata.org/entity/Q32844258,Bob Peterson Bay
http://www.wikidata.org/entity/Q32844330,Bodie Island Marshes
http://www.wikidata.org/entity/Q32844357,Bog Bay
http://www.wikidata.org/entity/Q32844366,Bog Opening
http://www.wikidata.org/entity/Q32844368,Bog Scattering Pines
http://www.wikidata.org/entity/Q32844658,Boggy Swamp
http://www.wikidata.org/entity/Q32844703,Bogue Marsh
http://www.wikidata.org/entity/Q32845475,Brace Pocosin
http://www.wikidata.org/entity/Q32845920,Briar Bed
http://www.wikidata.org/entity/Q32846004,Brice Creek Pocoson
http://www.wikidata.org/entity/Q32846230,Briery Bay
http://www.wikidata.org/entity/Q32846243,Brigand Bay
http://www.wikidata.org/entity/Q32846307,Brisson Bay
http://www.wikidata.org/entity/Q32846400,Broad Creek Marsh
http://www.wikidata.org/entity/Q32846462,Broadneck Swamp
http://www.wikidata.org/entity/Q32846785,Brown Marsh Swamp
http://www.wikidata.org/entity/Q32846789,Brown Morse Swamp
http://www.wikidata.org/entity/Q32848207,Buck Slash Bay
http://www.wikidata.org/entity/Q32848209,Buck Swamp
http://www.wikidata.org/entity/Q32848301,Buckhorn Bay
http://www.wikidata.org/entity/Q32848366,Buckhorn Savanna
http://www.wikidata.org/entity/Q32848381,Buckle Swamp
http://www.wikidata.org/entity/Q32848384,Buckleberry Pocosin
http://www.wikidata.org/entity/Q32848630,Buffalo Creek Cypress Swamp
http://www.wikidata.org/entity/Q32849245,Burgaw Savannah
http://www.wikidata.org/entity/Q32849444,Burnt Bay
http://www.wikidata.org/entity/Q32849505,Burnt Pocoson
http://www.wikidata.org/entity/Q32849718,Bushy Bay
http://www.wikidata.org/entity/Q32849730,Bushy Lake
http://www.wikidata.org/entity/Q32849784,Butler Bay
http://www.wikidata.org/entity/Q32849785,Butler Bay
http://www.wikidata.org/entity/Q32849944,Buzzard Bay
http://www.wikidata.org/entity/Q32849945,Buzzard Bay
http://www.wikidata.org/entity/Q32849946,Buzzard Bay
http://www.wikidata.org/entity/Q32850399,Cain Bay
http://www.wikidata.org/entity/Q32850561,Calico Creek Marsh
http://www.wikidata.org/entity/Q32850727,Camp Bay
http://www.wikidata.org/entity/Q32852495,Caney Meadow
http://www.wikidata.org/entity/Q32852593,Cannon Swamp
http://www.wikidata.org/entity/Q32852789,Cape Fear Lowlands
http://www.wikidata.org/entity/Q34740436,Catholic Bay
http://www.wikidata.org/entity/Q34740695,Cattail Bay
http://www.wikidata.org/entity/Q34741151,Causeway Bay
http://www.wikidata.org/entity/Q49181632,Cawcaw Bay
http://www.wikidata.org/entity/Q34759767,Cedar Bay
http://www.wikidata.org/entity/Q49181637,Cedar Grove
http://www.wikidata.org/entity/Q49181698,Cedar Swamp Bay
http://www.wikidata.org/entity/Q49181726,Chancy Bay
http://www.wikidata.org/entity/Q34766597,Charlie Long Millpond
http://www.wikidata.org/entity/Q49181786,Chinquapin Bay
http://www.wikidata.org/entity/Q49181811,Church Bay
http://www.wikidata.org/entity/Q49181899,Clayton Bay
http://www.wikidata.org/entity/Q49181900,Clayton Bay
http://www.wikidata.org/entity/Q34783004,Club Bay
http://www.wikidata.org/entity/Q49181960,Colen Williams Bay
http://www.wikidata.org/entity/Q49181972,Colly Marsh
http://www.wikidata.org/entity/Q49181974,Colly Swamp
http://www.wikidata.org/entity/Q49181988,Conch Shoal Marsh
http://www.wikidata.org/entity/Q49181993,Connaritsa Pocosin
http://www.wikidata.org/entity/Q49182002,Contrary Swamp
http://www.wikidata.org/entity/Q49182014,Cooley Bay
http://www.wikidata.org/entity/Q49182057,Corson Bay
http://www.wikidata.org/entity/Q49182060,Cotton Head Bay
http://www.wikidata.org/entity/Q49182062,Cotton Head Bay
http://www.wikidata.org/entity/Q49182064,Cotton Patch Bay
http://www.wikidata.org/entity/Q49182085,Cove Swamp
http://www.wikidata.org/entity/Q49182092,Cow Bay
http://www.wikidata.org/entity/Q34662581,Cow Pen Bay (historical)
http://www.wikidata.org/entity/Q34662628,Coward Swamp
http://www.wikidata.org/entity/Q34662676,Cowpen Bay
http://www.wikidata.org/entity/Q34662716,Craggy Flats
http://www.wikidata.org/entity/Q34662802,Cromartie Marsh
http://www.wikidata.org/entity/Q34662840,Cross Bay
http://www.wikidata.org/entity/Q34662847,Cross Bay
http://www.wikidata.org/entity/Q34662869,Cross Swamp
http://www.wikidata.org/entity/Q34662919,Cumbee Bay
http://www.wikidata.org/entity/Q34662956,Curve of the Railroad Bay
http://www.wikidata.org/entity/Q34662990,Cypress Bay
http://www.wikidata.org/entity/Q34662995,Cypress Bay
http://www.wikidata.org/entity/Q34663005,Cypress Bay
http://www.wikidata.org/entity/Q34663009,Cypress Bay
http://www.wikidata.org/entity/Q34663014,Cypress Bay
http://www.wikidata.org/entity/Q34663000,Cypress Bay (historical)
http://www.wikidata.org/entity/Q34663098,Cypress Branch
http://www.wikidata.org/entity/Q34663115,Cypress Creek Bay
http://www.wikidata.org/entity/Q34663121,Cypress Creek Bay
http://www.wikidata.org/entity/Q34663179,Cypress Pond
http://www.wikidata.org/entity/Q34663183,Cypress Pond
http://www.wikidata.org/entity/Q34663241,Cypress Swamp
http://www.wikidata.org/entity/Q34663245,Cypress Swamp
http://www.wikidata.org/entity/Q49182993,Dark Bay
http://www.wikidata.org/entity/Q34664334,David Gam Bay
http://www.wikidata.org/entity/Q34664368,Davis Marsh
http://www.wikidata.org/entity/Q34664584,Deaver Bay
http://www.wikidata.org/entity/Q49183140,Devils Nest
http://www.wikidata.org/entity/Q49183157,Devils Woodyard
http://www.wikidata.org/entity/Q49183215,Dickenson Meadow
http://www.wikidata.org/entity/Q49183547,Dismal Bay
http://www.wikidata.org/entity/Q49183548,Dismal Bay
http://www.wikidata.org/entity/Q49183549,Dismal Bay
http://www.wikidata.org/entity/Q49183550,Dismal Bay
http://www.wikidata.org/entity/Q49183569,Ditch Bay
http://www.wikidata.org/entity/Q49183570,Ditch Bay
http://www.wikidata.org/entity/Q49183957,Doehead Bay
http://www.wikidata.org/entity/Q49183964,Doghead Bay
http://www.wikidata.org/entity/Q49183988,Dollisons Swamp
http://www.wikidata.org/entity/Q49184061,Double Branch Bay
http://www.wikidata.org/entity/Q49184063,Double Head Bay
http://www.wikidata.org/entity/Q49184109,Doxeys Salthouse
http://www.wikidata.org/entity/Q49184206,Drinking Pond
http://www.wikidata.org/entity/Q49184273,Drowned Bay
http://www.wikidata.org/entity/Q49184393,Duck Pond Swamp
http://www.wikidata.org/entity/Q49184864,East Dismal Swamp
http://www.wikidata.org/entity/Q49184877,Eb Bay
http://www.wikidata.org/entity/Q49184894,Edwards Pocosin
http://www.wikidata.org/entity/Q49185003,Egypt Swamp
http://www.wikidata.org/entity/Q49185828,Entry Bay
http://www.wikidata.org/entity/Q49186055,Etheridge Swamp
http://www.wikidata.org/entity/Q49186578,Fishpond Swamp
http://www.wikidata.org/entity/Q49187254,Flat Bay
http://www.wikidata.org/entity/Q49187255,Flat Bay
http://www.wikidata.org/entity/Q49187256,Flat Bay
http://www.wikidata.org/entity/Q49187264,Flat Pond
http://www.wikidata.org/entity/Q49187273,Flat Swamp
http://www.wikidata.org/entity/Q49187275,Flat Swamp
http://www.wikidata.org/entity/Q49187277,Flat Swamp
http://www.wikidata.org/entity/Q49187279,Flat Swamp
http://www.wikidata.org/entity/Q34676891,Flowers Swamp
http://www.wikidata.org/entity/Q49188093,Fox Bay
http://www.wikidata.org/entity/Q49188095,Fox Bay
http://www.wikidata.org/entity/Q34678346,Frenchs Creek Swamp
http://www.wikidata.org/entity/Q34678395,Friar Swamp
http://www.wikidata.org/entity/Q34678509,Frog Level Swamp
http://www.wikidata.org/entity/Q49188677,Gabriel Bay
http://www.wikidata.org/entity/Q49188754,Gallberry Bay
http://www.wikidata.org/entity/Q49188984,Gap Bay
http://www.wikidata.org/entity/Q49188985,Gap Bay
http://www.wikidata.org/entity/Q49188994,Gapway Swamp
http://www.wikidata.org/entity/Q49189131,Gaston Swamp
http://www.wikidata.org/entity/Q49189702,Glass Pond
http://www.wikidata.org/entity/Q34684923,Good Luck Bay
http://www.wikidata.org/entity/Q34684936,Goodman Swamp
http://www.wikidata.org/entity/Q34685003,Goose Pond
http://www.wikidata.org/entity/Q34685009,Goose Pond
http://www.wikidata.org/entity/Q34685262,Goshen Swamp
http://www.wikidata.org/entity/Q34685671,Grapevine Marsh
http://www.wikidata.org/entity/Q49190225,Gray Swamp
http://www.wikidata.org/entity/Q49190227,Gray Swamp
http://www.wikidata.org/entity/Q49190228,Grays Bay
http://www.wikidata.org/entity/Q1544257,Great Dismal Swamp
http://www.wikidata.org/entity/Q49190265,Great Marsh
http://www.wikidata.org/entity/Q49190280,Great Sandy Run Pocosin
http://www.wikidata.org/entity/Q49190306,Great Swamp
http://www.wikidata.org/entity/Q49190307,Great Swamp
http://www.wikidata.org/entity/Q49190332,Green Bay
http://www.wikidata.org/entity/Q49190367,Green Swamp
http://www.wikidata.org/entity/Q49190368,Green Swamp
http://www.wikidata.org/entity/Q49190481,Griffie Drain
http://www.wikidata.org/entity/Q49190560,Grindle Pocosin
http://www.wikidata.org/entity/Q49191469,Gully Bay
http://www.wikidata.org/entity/Q34690105,Gum Flat Bay
http://www.wikidata.org/entity/Q34690294,Gum Swamp
http://www.wikidata.org/entity/Q34690304,Gum Swamp
http://www.wikidata.org/entity/Q34690312,Gum Swamp
http://www.wikidata.org/entity/Q34690320,Gum Swamp
http://www.wikidata.org/entity/Q34690328,Gum Swamp
http://www.wikidata.org/entity/Q34690336,Gum Swamp
http://www.wikidata.org/entity/Q34690345,Gum Swamp
http://www.wikidata.org/entity/Q34690371,Gum Swamp Bay
http://www.wikidata.org/entity/Q49192121,Half Moon Pocosin
http://www.wikidata.org/entity/Q49192122,Half Moon Pocosin
http://www.wikidata.org/entity/Q49192139,Hall Pocosin
http://www.wikidata.org/entity/Q49193044,Harrells Bay
http://www.wikidata.org/entity/Q49193059,Harrison Creek Bay
http://www.wikidata.org/entity/Q49193083,Hasket Bay
http://www.wikidata.org/entity/Q49193116,Hatcher Swamp
http://www.wikidata.org/entity/Q49193219,Hattock Bay
http://www.wikidata.org/entity/Q34693688,Hawes Marsh
http://www.wikidata.org/entity/Q34693733,Head o' Bay
http://www.wikidata.org/entity/Q34693740,Head of Chinnis Branch
http://www.wikidata.org/entity/Q34693780,Hearts Delight Pocosin
http://www.wikidata.org/entity/Q49193877,Hell Swamp
http://www.wikidata.org/entity/Q34696794,Hester Bay
http://www.wikidata.org/entity/Q49194723,Hog Bay
http://www.wikidata.org/entity/Q49194737,Hog Island Swamp
http://www.wikidata.org/entity/Q49194756,Hog Swamp
http://www.wikidata.org/entity/Q49194757,Hog Swamp
